Check_Date,Existing_ID,Part,Option,Existing_Market,Existing_Store,Old_Price,Old_Currency,Old_HUF_Est,New_Market,New_Store,New_Price,New_Currency,New_Product_URL,Match_Quality,Capture_File,Decision,Notes
2026-06-21,RAM_02_HU,RAM,Kingston Fury Beast EXPO 64GB 2x32 DDR5-6000 CL30,Hungary,foramax.hu,339890,HUF,339890,,,,,,,,,
2026-06-21,RAM_03_PL,RAM,GOODRAM IRDM 64GB 2x32 DDR5-6000 CL30,Poland,Allegro,3333,PLN,276872,,,,,,,,,
2026-06-21,RAM_03_HU,RAM,GOODRAM IRDM 64GB 2x32 DDR5-6000 CL30,Hungary,sky-frames.hu,332760,HUF,332760,,,,,,,,,
2026-06-21,RAM_04_PL,RAM,Patriot Viper Venom 32GB 2x16 DDR5-6000 CL30,Poland,vist.eu,1589.9,PLN,132073,,,,,,,,,
2026-06-21,RAM_04_HU,RAM,Patriot Viper Venom 32GB 2x16 DDR5-6000 CL30,Hungary,alza.hu,150290,HUF,150290,,,,,,,,,
2026-06-21,SSD_01_PL,SSD,Kingston KC3000 2TB,Poland,Avans / OleOle,939,PLN,78003,,,,,,,,,
2026-06-21,SSD_01_HU,SSD,Kingston KC3000 2TB,Hungary,oaziscomputer.hu,106336,HUF,106336,,,,,,,,,
2026-06-21,SSD_02_PL,SSD,Lexar NM790 2TB,Poland,Ceneo lead,1038.03,PLN,86229,,,,,,,,,
2026-06-21,SSD_02_HU,SSD,Lexar NM790 2TB,Hungary,Arukereso lead,96695,HUF,96695,,,,,,,,,
2026-06-21,SSD_03_PL,SSD,Samsung 990 PRO 2TB,Poland,Ceneo lead,1469,PLN,122030,,,,,,,,,
2026-06-21,SSD_03_HU,SSD,Samsung 990 PRO 2TB,Hungary,Alza / Arukereso lead,119990,HUF,119990,,,,,,,,,
2026-06-21,PSU_01_HU,PSU,be quiet! Pure Power 13 M 1000W,Hungary,Arukereso lead,49100,HUF,49100,,,,,,,,,
2026-06-21,PSU_02_HU,PSU,Seasonic Focus GX-1000 2024,Hungary,Arukereso lead,59990,HUF,59990,,,,,,,,,
2026-06-21,PSU_02_PL,PSU,Seasonic Focus GX-1000 v4,Poland,Ceneo lead,687,PLN,57069,,,,,,,,,
2026-06-21,PSU_03_PL,PSU,Corsair RM1000x ATX 3.1,Poland,Amazon.pl,647,PLN,53746,,,,,,,,,
2026-06-21,PSU_03_HU,PSU,Corsair RM1000x ATX 3.1,Hungary,oaziscomputer.hu,66200,HUF,66200,,,,,,,,,
2026-06-21,COOL_01_HU,Cooler,Arctic Liquid Freezer III Pro 360 A-RGB Black,Hungary,Arukereso lead,31500,HUF,31500,,,,,,,,,
2026-06-21,COOL_02_PL,Cooler,Arctic Liquid Freezer III Pro 360 Black,Poland,it-shop24.pl,324,PLN,26915,,,,,,,,,
2026-06-21,COOL_02_HU,Cooler,Arctic Liquid Freezer III Pro 360 Black,Hungary,oaziscomputer.hu,29200,HUF,29200,,,,,,,,,
2026-06-21,COOL_03_PL,Cooler,DeepCool LE360 V2 ARGB Black,Poland,Ceneo lead,277.21,PLN,23028,,,,,,,,,
2026-06-21,COOL_03_HU,Cooler,DeepCool LE360 V2 ARGB Black,Hungary,Arukereso broad search,22499,HUF,22499,,,,,,,,,
2026-06-21,COOL_04_PL,Cooler,MSI MAG CoreLiquid A13 360 Black,Poland,Ceneo lead,248,PLN,20601,,,,,,,,,
2026-06-21,COOL_04_HU,Cooler,MSI MAG CoreLiquid A13 360 Black,Hungary,Arukereso broad search,27777,HUF,27777,,,,,,,,,
2026-06-21,COOL_05_HU,Cooler,Gigabyte GME 360 Gaming CPU Cooler Black,Hungary,Arukereso broad search,31800,HUF,31800,,,,,,,,,
2026-06-21,COOL_06_PL,Cooler,be quiet! Pure Loop 3 LX 360mm Black,Poland,Ceneo lead,394.68,PLN,32786,,,,,,,,,
2026-06-21,COOL_06_HU,Cooler,be quiet! Pure Loop 3 LX 360mm Black,Hungary,Arukereso broad search,34801,HUF,34801,,,,,,,,,
2026-06-21,CASE_01_HU,Case,Corsair 3500X ARGB Black,Hungary,Arukereso lead,31990,HUF,31990,,,,,,,,,
2026-06-21,CASE_02_HU,Case,Corsair 3500X Black plain,Hungary,Arukereso lead,21326,HUF,21326,,,,,,,,,
2026-06-21,CASE_03_HU,Case,Phanteks XT View TG D-RGB Black,Hungary,Arukereso lead,27901,HUF,27901,,,,,,,,,
2026-06-21,CASE_04_HU,Case,NZXT H6 Flow RGB All Black,Hungary,Arukereso lead,44444,HUF,44444,,,,,,,,,
2026-06-21,CASE_05_HU,Case,Lian Li O11 Vision Compact Black,Hungary,Arukereso lead,43290,HUF,43290,,,,,,,,,
2026-06-21,CASE_06_HU,Case,NZXT H9 Flow Black,Hungary,oaziscomputer.hu,54190,HUF,54190,,,,,,,,,
2026-06-21,CASE_07_HU,Case,Montech KING 95 PRO TG ARGB Black,Hungary,Arukereso lead,55790,HUF,55790,,,,,,,,,
2026-06-21,CASE_08_HU,Case,Lian Li O11D EVO RGB TG Black,Hungary,Arukereso lead,59990,HUF,59990,,,,,,,,,
2026-06-21,CASE_09_HU,Case,Lian Li O11 Dynamic Mini V2 TG Black,Hungary,Arukereso lead,33090,HUF,33090,,,,,,,,,
2026-06-21,CASE_10_HU,Case,Phanteks NV9 MK2 Black,Hungary,Arukereso lead,84499,HUF,84499,,,,,,,,,
2026-06-21,CASE_11_HU,Case,Lian Li O11 Dynamic EVO XL Black,Hungary,Arukereso lead,89900,HUF,89900,,,,,,,,,
2026-06-21,GPU_00_NONE,GPU,No GPU yet,No GPU,Local,0,HUF,0,,,,,,,,,
2026-06-21,GPU_01_PL,GPU,MSI RTX 5080 Ventus 3X OC 16GB,Poland,x-kom.pl,4899,PLN,406960,,,,,,,,,
2026-06-21,GPU_01_HU,GPU,MSI RTX 5080 Ventus 3X OC 16GB,Hungary,oaziscomputer.hu,499090,HUF,499090,,,,,,,,,
2026-06-21,GPU_02_PL,GPU,MSI RTX 5080 Gaming Trio OC 16GB,Poland,Ceneo lead,5599,PLN,465109,,,,,,,,,
2026-06-21,GPU_02_HU,GPU,MSI RTX 5080 Gaming Trio OC 16GB,Hungary,oaziscomputer.hu,528465,HUF,528465,,,,,,,,,
2026-06-21,GPU_03_PL,GPU,Gigabyte RTX 5080 Gaming OC 16GB,Poland,Ceneo lead,5799,PLN,481723,,,,,,,,,
2026-06-21,GPU_03_HU,GPU,Gigabyte RTX 5080 Gaming OC 16GB,Hungary,oaziscomputer.hu,526400,HUF,526400,,,,,,,,,
2026-06-21,GPU_04_PL,GPU,Inno3D RTX 5080 X3 OC 16GB,Poland,Ceneo lead,5579,PLN,463448,,,,,,,,,
2026-06-21,GPU_04_HU,GPU,Inno3D RTX 5080 X3 OC 16GB,Hungary,Arukereso lead,465640,HUF,465640,,,,,,,,,
2026-06-21,GPU_05_PL,GPU,Gigabyte RTX 5080 Windforce OC SFF 16GB,Poland,Ceneo lead,5343.54,PLN,443888,,,,,,,,,
2026-06-21,GPU_05_HU,GPU,Gigabyte RTX 5080 Windforce OC SFF 16GB,Hungary,Arukereso lead,470000,HUF,470000,,,,,,,,,
